recommendation_instance_id,weekly_workload_minutes,cap,pass
aaa03fbb58581adb259a49fa,115,180,True
00906b547135d6d24ab9aa12,100,180,True
e52418eae200a4788bb33dc7,115,180,True
713c39cb2b511f302823a04c,115,180,True
0e67374830a1f2aef70de67f,160,180,True
c5375527746712d50f8ab172,115,180,True
f384bc5d635a130a1cc28a34,160,180,True
9bb22233bcad044e5ba40122,115,180,True
005515130c8a153ddeee265e,100,180,True
566ddbf405555ea770f101d4,115,180,True
da0ba421f6a3e3cdeafc84f2,160,180,True
7a6d28dd54059364592fa733,100,180,True
9dbd4867042374367be39670,115,180,True
2f16ecde46be7d95b63b167f,160,180,True
cd52e488e27240781bbfa7cc,115,180,True
fa92fb372f34900c02cf08c4,115,180,True
33256e9db4a88ed50a101355,160,180,True
a17d0f541492ed20f929f9a5,160,180,True
e88d15bf7372c6372fd9c86b,115,180,True
8fda407fa9dfb25cfc0b690e,160,180,True
e11b97505f42cf0670f2b3b8,100,180,True
3ec4a8dd07093b264cd73c1a,115,180,True
65cdd9b744c303ee32c8e5e7,160,180,True
a44a291e64e4295d740bd6a3,115,180,True
ed53d436bc52c346c602a251,160,180,True
1f58ea5e0d27d0a65cf7d31c,100,180,True
4a32753d43c9aacfa98a3b07,115,180,True
3bed7f4b5466274ad80e822d,115,180,True
034ed8eb371d5116de1341e8,115,180,True
93cee72dc2d16ac5f6117231,115,180,True
9e10becbef08c78c481d9bd9,160,180,True
09cd283ce3180063ed6b7bca,115,180,True
9cc5ad9b456976bd7bc37434,160,180,True
b40d9466260c424da59bd77e,160,180,True
daf657be3855e5bfc8f5ee7e,100,180,True
323a9316bfaa218ec828e4dc,115,180,True
8fc5f9161dbe53fb21f35349,160,180,True
7889584a70828d04bec16487,160,180,True
2f9bce4ad9d9a80b8ada7d81,115,180,True
878871c0d97afd74286c5128,100,180,True
c28c192202ec2676c15c1e4c,115,180,True
860ca90baf83637cb0d8ad72,115,180,True
2dd9c644237a0e20685ccbb9,100,180,True
70da072edc57367cb571e309,160,180,True
9d9a6e5993fec5db931d7457,100,180,True
6a05b455c56024aeabca7e74,115,180,True
c39578881ddefa74bc0cbbc8,115,180,True
d5819a1409813364f668226b,115,180,True
eedddd0351052f72c65cd5c4,100,180,True
f4969d5f4044b4e0a6a6d265,100,180,True
d4fc33f7b34ac9da3ef2aa1d,115,180,True
0af4eb9eaa0b2ec20ab75064,115,180,True
22ce9e7a77e0805b8477d468,160,180,True
8d845d0f875668ade76df015,115,180,True
7d9d3f1b60c540c08d73a2e1,160,180,True
e9a58da78af8f9eee00c604d,160,180,True
2f80caaaab894218cbd6b704,160,180,True
ce1309e588756786d39982a0,160,180,True
d1614e804387584a4d55e80d,115,180,True
f9df3bc62f972432312b57d5,160,180,True
6f1ffa49e40032c89ffd5f42,160,180,True
2b924d60c760548b1ceaf5a6,160,180,True
164b0acf783c8dc7bc9da03b,115,180,True
84a9fc969bd6eac4710c4c16,100,180,True
d04af29b0a169253b3521d10,160,180,True
279a8a52bcfd2e40e5078f66,160,180,True
a4090f004aa256bf8c7a96f0,100,180,True
fc39ba070271ff948ab102ef,160,180,True
b8286b49d94593c72ef05496,115,180,True
a1354f7f05784e56936d85b0,160,180,True
10601d60abfb5c857f03c326,115,180,True
54363743d96080d1a749eb13,160,180,True
446d95c4382e1c8633a53f06,160,180,True
a5dd481df32e3ccf593d4e2e,160,180,True
732f8107153add6c9de644cf,115,180,True
df026b50cc10aa81c7e1ec37,160,180,True
0f5ed30371c3c725f10ef4ac,115,180,True
584ba767f903da37593391b8,160,180,True
6c71740d37e581095e858316,115,180,True
a63f225045be60f619a29448,160,180,True
bcba3d5fbd3d549e88d7cec9,100,180,True
b005fa32cd6fd69e3b06e60a,115,180,True
a3b1dd0f536d424e9262bd6e,160,180,True
95df873e2badc6234df4635a,160,180,True
21a98cdf85cb29be60e6e371,160,180,True
9d5d82b4fe35f2a6607d5c5d,115,180,True
c72d854fbed6de4e9ee72f50,160,180,True
7226af77ff63bfb8fcf4238d,115,180,True
373922fa9f3c6e6ad1ce13d1,115,180,True
47a7a54edc17acbed6bf6ba2,100,180,True
374610a360107c570ffd9423,160,180,True
821f19e4dde5166d5bd189d0,115,180,True
7a761044c818a502a04db895,100,180,True
2f93702400a9204699206e81,115,180,True
9bc6bd44b4a13d85f1e8c9a5,160,180,True
355f3d1b5c04b10230cb0f34,115,180,True
24c99043ffe7fd6e0a298e9b,160,180,True
e1c6b214c6cde601d762202f,115,180,True
56abd30afaeca3eed57936bd,160,180,True
7b2b58f5d7090c83e151d9a0,160,180,True
52093df37b54be7abd108301,115,180,True
99005ab93632d1e0d6042dcf,160,180,True
23846c322927bdcb0cb93c37,115,180,True
d6a51892b00fb031a23533b4,100,180,True
6686d55e43444de5fc27e5fa,160,180,True
3ee9c043566338a362a1b1d0,115,180,True
0adb67ca2ec6513c69858db7,115,180,True
b6f2ced1ad4b3879b022eac1,100,180,True
970f42a82e9514fe751044ec,160,180,True
39dcfb4d8ea908fbadb6e3b6,115,180,True
a3c42a28ce01d30f90884bcb,160,180,True
834d939a450911619c101e4b,160,180,True
159302ff7b7372ae2f24a501,115,180,True
4cb330132c4e1cfa3fdea1f8,100,180,True
69b9e202fe4756f3e8116ab5,100,180,True
236978ac9ce676457ee87fa0,160,180,True
101e27db79279ddbc9d1de15,160,180,True
aa11b3f20b7da34062b4a160,100,180,True
3c27b2fdc198e29dba0a5f0a,115,180,True
b904291fcbecda3d48b14666,160,180,True
8f81c00eb68a3568d0ec1d13,160,180,True
7e5561ccdd0da5d7a3a024d3,115,180,True
53a69292bc1a29cf9fce6ed8,160,180,True
817495ac3120dd2bad586fce,115,180,True
977cb53055a9b162d5af4b68,160,180,True
251288c7b75b1b5d35c1732d,160,180,True
1ea1b5645b59589ab07d78f9,160,180,True
f05ca29039df34ebf7046ce6,115,180,True
522b5c263983a7925d088d48,160,180,True
3308de3df29379439b1d5d6e,100,180,True
f23e1f04e1ae2a119b00559b,160,180,True
3f98a056dd1793a3c7c5fd97,160,180,True
7e8d559c53b2fd33b6b1bdea,115,180,True
63a0560ab4e13ed2901ee3c1,160,180,True
99c72bd622c8b5d158261ad3,160,180,True
b0cfceaa0676eccece7ce460,100,180,True
0c3874eb29dfb4081dfb02e3,115,180,True
8e15a3c50a9a166e687a629d,160,180,True
3bfdc01aaa442776d5871cce,115,180,True
99a8f1e16060a35d814d7567,115,180,True
edeaca06071e9a42284c70c5,115,180,True
a68a89d0710a6524285ed148,115,180,True
90692fc16c80990fa2271fd3,115,180,True
b859da94a089e1a620e85934,160,180,True
219ddaa1900cde85c7449aa5,115,180,True
a2d11438a41ab40b4ce3c45c,115,180,True
6a2b4c2a939bf11848459f11,115,180,True
596736f6afee2c7d66def1a7,115,180,True
188ae5aeb7be84fe41bdc446,160,180,True
f5a6691e37387c88b42659c5,115,180,True
e8800d01d0a6f7579bd2a0d1,115,180,True
7534f9db59088b36818c0fea,160,180,True
a5e8288ce7cc3350938c5ce6,115,180,True
0be19d7a2043ddf56b2c8219,160,180,True
fd4820157dc323c180ffc0bf,115,180,True
1e237ddab24bc01901a189ef,160,180,True
e2898a556f0e7e2fbda4ff7f,100,180,True
62b92c152480bd54189fe67d,160,180,True
f9449bf89949f30ff30d7fd5,115,180,True
5d71c9b16bc69e54ed5e454a,160,180,True
2ec56acefa02b3baafc1d5e2,160,180,True
9e6cd6deba3b191204cf95fb,115,180,True
8156440cf868fcea5e8aa241,115,180,True
aa94aa24162a3337e2731382,115,180,True
34774f53a239ee46567e2b31,100,180,True
1af2744652f97017eb13a452,100,180,True
f79772ba02a57228ae522c1b,160,180,True
df61fb7921e50a4ae94f9457,115,180,True
ab1aa8246f30404474872ef5,160,180,True
2d03f67fd4bf4debfe3b5c8a,115,180,True
b183d447de16a333ef7eebc7,100,180,True
561d6d347ffc1afad6e6a603,115,180,True
9ec6b298748fce9756e2380e,115,180,True
fca0f4301a369706ca9630a1,160,180,True
a7b9178bbd41e8bbca408a54,100,180,True
2009b1d1eda415b8b00368dd,115,180,True
531741ef9bcd7eb07bc229cf,100,180,True
6c1026713871b12624f2f1a0,115,180,True
754b74b1c072f2a1e9684f7a,115,180,True
c9c1eeae9256b52ad3c9f66e,160,180,True
8ef7cce979fcec924bd4ec90,160,180,True
f9adde9adccb16d86e5c689d,160,180,True
47a731ee8e05bcacae0012c4,160,180,True
f63a94359f9e2caf7318427e,160,180,True
ff2f1bfe46ecbeb1c82e598c,115,180,True
3c1546c7f5db646f801b19ee,100,180,True
171d9d49b11100759a953016,115,180,True
2a801e733cd92bb177cecc8f,100,180,True
eb5258d7e9a59a96778103ee,115,180,True
79c62a72c16f4cd6bca79e02,115,180,True
012526537682477722c81be0,100,180,True
6f9e0f9089c6667be9c18232,115,180,True
bc7d79fb9b679d7c1a97f058,100,180,True
6fce1d7d0e0d09b338e1c06a,115,180,True
8f9d784471d1601923a6126b,160,180,True
1d248f439a1eb2352ee4c6f3,115,180,True
01102805099a3c52de96d59a,100,180,True
8d0ce9bae8b897d0fda3552b,115,180,True
464a249588a16861f9c0d14e,115,180,True
71e5d619f6f8fffe67d77e88,115,180,True
21b874aa35972c90ba1cd9fc,100,180,True
389f9f4cf14c44ada9c4f30d,100,180,True
f5c3cf24c90f70eec74125a5,115,180,True
2c8cc54c3a61df2b9df0e95e,100,180,True
f77a9465efbc6bd7b95167ea,115,180,True
db3599fb464c2ac1fa2f40fa,160,180,True
d84b299126bd147f9ae08cfa,115,180,True
22a0175b1caf88d38eca3e43,115,180,True
83054d7f8468e56b3c5a4a2e,115,180,True
a561a05ecb4d44ced2942cdf,115,180,True
470b10d5418995f58015865b,115,180,True
8e2ff3f48ff085f0f7c0ab9b,160,180,True
9ed686a65f74ec8f2d75e939,115,180,True
8dbff96d9389d84a2d809fc3,115,180,True
fd8863ba055902ded32dab94,115,180,True
19161ad4712562c2ec17faa4,115,180,True
316a50b474a8d00425b86322,115,180,True
4b0a1fcac86022156a72bc38,100,180,True
3e2ce285c223bbfa0479c067,115,180,True
adb20dfc30687e9ee1b8fe49,160,180,True
4feebf342b53f7095bdd9580,160,180,True
dd904466d8b6aeda4c169431,115,180,True
ba993123b39ddc9dac1f13b4,115,180,True
de6647ed64ee0848a560ee8c,100,180,True
56c664e61cfc3a37491af0c7,115,180,True
192f9fa2adf92ed6fbdc3d10,115,180,True
91110bf99e08a97e22361be2,115,180,True
591bbe4ec4af0c960319ac21,115,180,True
dc48bf961bb5f6beb1b1c80b,100,180,True
bb9a7e4a8e493019525924bc,160,180,True
31fbfc68e5babf8e300ac441,115,180,True
6ae17435900b6603b1482c95,115,180,True
78277f8259b2606c9ebdc7ef,100,180,True
3c4ecc1f843fc6ba626a4f75,115,180,True
8edeeef64536632847ecf4d0,100,180,True
0268246f1ad7913577ba18c4,115,180,True
b9c3c090e69faa56ab720427,160,180,True
369daa497233944fde1833b1,115,180,True
fe802a66d51a59145a369588,160,180,True
ae514d15b797d92e029dd2aa,160,180,True
60852951d1c4f3543e886f7f,115,180,True
2eac024f359a478c5ba445c8,115,180,True
3d1f0c08d8af0cc9031d32f7,100,180,True
47ee611586c292d4580d8474,115,180,True
540d0d881ca438d410818e60,115,180,True
e7f1a6c4c5ecb16d15bb70c5,115,180,True
fa5570836d02f9e13592e8cd,115,180,True
f51bf7f9ba11d7d9e6183f27,115,180,True
89b8e2c3a8bb1fe62a319382,115,180,True
34606cea9bd046032c026cbb,160,180,True
55c90dba9a04a27a7daadd4f,115,180,True
c11884c7d7d2ff346a1180e8,115,180,True
31af02a88634f5be5c1ea2e7,115,180,True
77c5e9a3656b9f8e13e95a62,115,180,True
5346edcecc7c04e51eeaf559,160,180,True
176d966aaef83f6d25c36e2a,100,180,True
fc4d10e882ff7a3b416bd9b2,160,180,True
3feed1d8533ff357717deea6,100,180,True
53f1af473021dce25dcfd1a9,160,180,True
ae598d517d2fe92588d27b47,100,180,True
856349db7a2f2c8a7f4477ca,115,180,True
cde84656e5ab2d80b6d07677,160,180,True
e73c010548558c709343af3b,115,180,True
d51893f66ff7e3176cffd70f,160,180,True
74f6209f7aade2bae388af21,115,180,True
d8a5adca3532d2f6f683a88d,160,180,True
c1801c32de4a8d7764593939,160,180,True
81c623f620b430d239cb3363,160,180,True
a0b90a622e130d9d716f7dbd,160,180,True
b8b93de9782138b64c643d3c,160,180,True
6ac19f7febd64ee274fc66f9,160,180,True
